,0
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,
1992-08-01,-12.012047949043243
1992-09-01,9.852036429560918
1992-10-01,11.632447301191231
1992-11-01,-0.5957680726835295
1992-12-01,1.2468118316165828
1993-01-01,7.505617220147855
1993-02-01,3.430899314467297
1993-03-01,-11.3108340569043
1993-04-01,9.541056140782787
1993-05-01,-9.847441142717042
1993-06-01,-0.24356786889232485
1993-07-01,2.3383611264829476
1993-08-01,-9.910354973005632
1993-09-01,10.587613183965097
1993-10-01,3.685805723431881
1993-11-01,5.373249307815751
1993-12-01,3.85760717894226
1994-01-01,0.12301276107811532
1994-02-01,3.3419869227383288
1994-03-01,4.790118812495448
1994-04-01,8.194211765727887
1994-05-01,-12.445986959494842
1994-06-01,3.250737683053006
1994-07-01,-9.091213536401188
1994-08-01,-2.314779800295206
1994-09-01,12.912822526085769
1994-10-01,5.967135986139337
1994-11-01,8.384984322809554
1994-12-01,7.755394816385433
1995-01-01,1.3063120830497326
1995-02-01,-3.0940983835376983
1995-03-01,-3.3070980852025413
1995-04-01,-4.583178007678411
1995-05-01,-6.255875482109939
1995-06-01,7.517101761488351
1995-07-01,-9.235486588527
1995-08-01,1.3011209058411524
1995-09-01,9.66813044136834
1995-10-01,-2.5349812724562666
1995-11-01,6.103222541393972
1995-12-01,-3.1319049444979328
1996-01-01,-0.04829038549402753
1996-02-01,14.641698592831574
1996-03-01,-5.010084595413447
1996-04-01,4.509581617951399
1996-05-01,1.8383242597943372
1996-06-01,-5.234309653272345
1996-07-01,-4.471239504844323
1996-08-01,-1.1146103804789718
1996-09-01,0.4242733228279931
1996-10-01,9.604159174416335
1996-11-01,3.2236535896939924
1996-12-01,-7.892540925993558
1997-01-01,7.6868044000287625
1997-02-01,4.294944519256035
1997-03-01,-1.0273242568646892
1997-04-01,0.7423711486341933
1997-05-01,-4.713092052081361
1997-06-01,-4.902321018400056
1997-07-01,1.7531926440572185
1997-08-01,-3.3157112106100257
1997-09-01,7.334713461768082
1997-10-01,9.527830572098306
1997-11-01,-4.420107890586554
1997-12-01,-1.8645216347285327
1998-01-01,4.370966577498194
1998-02-01,-0.64834534580433
1998-03-01,-8.171388814638592
1998-04-01,10.34759877352653
1998-05-01,-2.8026193214681534
1998-06-01,7.227468353136277
1998-07-01,0.14161388784044604
1998-08-01,-12.814292053027565
1998-09-01,3.1711244071006846
1998-10-01,8.087364391569277
1998-11-01,-5.088916888882796
1998-12-01,4.1749666969080295
1999-01-01,-0.9975581898020494
1999-02-01,5.060540514281286
1999-03-01,6.582469312054057
1999-04-01,6.862801355314703
1999-05-01,-4.074752490926453
1999-06-01,5.304280024708208
1999-07-01,2.4614299015394288
1999-08-01,-3.655865131123072
1999-09-01,6.30929306347398
1999-10-01,-5.699965865271284
1999-11-01,-1.7981281817042034
1999-12-01,15.15684224340265
2000-01-01,-5.869704911819127
2000-02-01,18.976660281687145
2000-03-01,10.919413216953044
2000-04-01,-4.389138123064383
2000-05-01,-0.8210121071299845
2000-06-01,3.8778725016383246
2000-07-01,-14.220328320337035
2000-08-01,-0.10990957201382656
2000-09-01,5.7122142034238905
2000-10-01,-4.124907756500309
2000-11-01,0.005332649391970978
2000-12-01,-2.6460725734418133
2001-01-01,2.2827266769171786
2001-02-01,-0.09052672524916261
2001-03-01,-2.078151898235093
2001-04-01,1.9376207695539467
2001-05-01,5.338877256479311
2001-06-01,0.9417959600896948
2001-07-01,-12.291812915832157
2001-08-01,4.15089587036946
2001-09-01,-17.348946468245536
2001-10-01,19.927378053073138
2001-11-01,6.770952031486967
2001-12-01,-4.9519781012643875
2002-01-01,2.3213535635424307
2002-02-01,0.03870707105306792
2002-03-01,-5.31632472189
2002-04-01,3.6361467757542147
2002-05-01,-0.22057710380651585
2002-06-01,-6.228396514450634
2002-07-01,5.086999917872117
2002-08-01,12.570378264477348
2002-09-01,-9.079267819091193
2002-10-01,-0.2666742447048618
2002-11-01,-2.5024347467000783
2002-12-01,-2.9440342077842274
2003-01-01,7.724235833670576
2003-02-01,-6.662212360025819
2003-03-01,-9.003839315839743
2003-04-01,5.525675479109539
2003-05-01,2.599533988797493
2003-06-01,-3.4048077581460747
2003-07-01,8.75963128077019
2003-08-01,6.15388616492195
2003-09-01,2.542572682606
2003-10-01,1.3350209385023364
2003-11-01,-10.93306875139216
2003-12-01,2.5929410406290003
2004-01-01,1.4935265703379343
2004-02-01,4.07177889285839
2004-03-01,5.7615266118323785
2004-04-01,9.770083333371845
2004-05-01,-1.8659180493614649
2004-06-01,-3.046022399254281
2004-07-01,4.371563556614671
2004-08-01,-7.385071456372792
2004-09-01,4.757721633547625
2004-10-01,-4.483186899923399
2004-11-01,-4.66390666736412
2004-12-01,15.435929823160393
2005-01-01,-6.10070857653912
2005-02-01,-3.8917082526492663
2005-03-01,4.8173347927883
2005-04-01,6.675352863670954
2005-05-01,-6.853654701963915
2005-06-01,14.052432971563594
2005-07-01,10.886495055342674
2005-08-01,4.781550398766491
2005-09-01,-3.227430086996968
2005-10-01,-15.429008068661009
2005-11-01,-7.054390777009235
2005-12-01,7.793433464752809
2006-01-01,-0.9939813469319745
2006-02-01,-3.4577324980700155
2006-03-01,9.880809546237002
2006-04-01,3.7415487523668123
2006-05-01,5.2158423861365755
2006-06-01,5.664555834706124
2006-07-01,-3.3304243541881995
2006-08-01,4.971515257021942
2006-09-01,-3.25781808547449
2006-10-01,-11.127808340113067
2006-11-01,-3.730207918678605
2006-12-01,4.266131776748182
