,sales_amount
2012-12-01,475.4321813228691
2013-01-01,476.43712104775625
2013-02-01,477.84394711647144
2013-03-01,479.3773438242855
2013-04-01,480.23337847527375
2013-05-01,481.16125429029125
2013-06-01,482.04556615534705
2013-07-01,482.7455733596015
2013-08-01,483.2312747956653
2013-09-01,483.38432327607734
2013-10-01,483.6325642399211
2013-11-01,484.5351980010806
2013-12-01,485.7993132572565
2014-01-01,486.7959394205029
2014-02-01,487.7973413534168
2014-03-01,488.6922533328783
2014-04-01,489.87990812341343
2014-05-01,491.39180655032703
2014-06-01,492.49794417617153
2014-07-01,493.8765660916937
2014-08-01,495.3919278006881
2014-09-01,496.21084010597895
2014-10-01,496.97429470717265
2014-11-01,497.69929069413547
2014-12-01,497.9645156988165
2015-01-01,498.6375375743411
2015-02-01,499.8373976935384
2015-03-01,500.5523538730499
2015-04-01,501.0877553811187
2015-05-01,501.68724946841337
2015-06-01,502.03721808246326
2015-07-01,502.72359135367367
2015-08-01,503.10669131898896
2015-09-01,503.9567072680444
2015-10-01,505.4035067069444
2015-11-01,506.00075882452546
2015-12-01,506.1093289973287
2016-01-01,506.4868593992802
2016-02-01,506.69324805343825
2016-03-01,506.8646664543732
2016-04-01,507.580917439062
2016-05-01,507.8181693530567
2016-06-01,508.3082106178163
2016-07-01,509.3331900451633
2016-08-01,510.2138927240243
2016-09-01,510.23186257755594
2016-10-01,510.23035128952165
2016-11-01,510.85203806056074
2016-12-01,511.7666865186917
2017-01-01,512.8024246833742
2017-02-01,513.3262121512691
2017-03-01,513.8993425639039
2017-04-01,514.7676165995941
2017-05-01,515.8931485462814
2017-06-01,517.4921122704952
2017-07-01,518.6892975463485
2017-08-01,519.5589528059454
2017-09-01,520.5387723669262
2017-10-01,521.4831786012264
2017-11-01,522.2300855324593
2017-12-01,523.2511297304577
2018-01-01,524.5671036350514
2018-02-01,525.6451915550144
2018-03-01,526.9269311002563
2018-04-01,527.3119599545241
2018-05-01,527.7364055584916
2018-06-01,528.8023378838226
2018-07-01,528.5147223813608
2018-08-01,527.9910593166138
2018-09-01,528.0379159155536
2018-10-01,527.5932249399079
2018-11-01,527.9166259352121
2018-12-01,528.7053905943862
2019-01-01,528.6655174378794
2019-02-01,529.070132129677
2019-03-01,530.0643473780531
2019-04-01,530.6858678526362
2019-05-01,531.1471063731233
2019-06-01,531.3399694118684
2019-07-01,531.971670100318
2019-08-01,533.0822293540801
2019-09-01,534.4973634372893
2019-10-01,534.1894200523582
2019-11-01,529.5948422005282
2019-12-01,525.6124766237153
2020-01-01,526.3337433643994
2020-02-01,529.0777303382779
2020-03-01,530.8168749960355
2020-04-01,533.1742608552573
2020-05-01,536.7259209564968
2020-06-01,539.2251816846799
2020-07-01,541.6450677304178
2020-08-01,545.0232077717039
2020-09-01,547.6376516801013
2020-10-01,554.25655369427
2020-11-01,567.7644533094278
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
