,0
1992-01-01,-46.64135670008923
1992-02-01,-49.833925776637955
1992-03-01,2.4553478588246676
1992-04-01,-8.985009509501511
1992-05-01,18.843390128799893
1992-06-01,6.571756476671834
1992-07-01,5.166942734216992
1992-08-01,14.205879484731234
1992-09-01,-17.717946818118413
1992-10-01,-4.565914098163032
1992-11-01,3.098929632890179
1992-12-01,77.40190658637533
1993-01-01,-46.64135670008923
1993-02-01,-49.833925776637955
1993-03-01,2.4553478588246676
1993-04-01,-8.985009509501511
1993-05-01,18.843390128799893
1993-06-01,6.571756476671834
1993-07-01,5.166942734216992
1993-08-01,14.205879484731234
1993-09-01,-17.717946818118413
1993-10-01,-4.565914098163032
1993-11-01,3.098929632890179
1993-12-01,77.40190658637533
1994-01-01,-46.64135670008923
1994-02-01,-49.833925776637955
1994-03-01,2.4553478588246676
1994-04-01,-8.985009509501511
1994-05-01,18.843390128799893
1994-06-01,6.571756476671834
1994-07-01,5.166942734216992
1994-08-01,14.205879484731234
1994-09-01,-17.717946818118413
1994-10-01,-4.565914098163032
1994-11-01,3.098929632890179
1994-12-01,77.40190658637533
1995-01-01,-46.64135670008923
1995-02-01,-49.833925776637955
1995-03-01,2.4553478588246676
1995-04-01,-8.985009509501511
1995-05-01,18.843390128799893
1995-06-01,6.571756476671834
1995-07-01,5.166942734216992
1995-08-01,14.205879484731234
1995-09-01,-17.717946818118413
1995-10-01,-4.565914098163032
1995-11-01,3.098929632890179
1995-12-01,77.40190658637533
1996-01-01,-46.64135670008923
1996-02-01,-49.833925776637955
1996-03-01,2.4553478588246676
1996-04-01,-8.985009509501511
1996-05-01,18.843390128799893
1996-06-01,6.571756476671834
1996-07-01,5.166942734216992
1996-08-01,14.205879484731234
1996-09-01,-17.717946818118413
1996-10-01,-4.565914098163032
1996-11-01,3.098929632890179
1996-12-01,77.40190658637533
1997-01-01,-46.64135670008923
1997-02-01,-49.833925776637955
1997-03-01,2.4553478588246676
1997-04-01,-8.985009509501511
1997-05-01,18.843390128799893
1997-06-01,6.571756476671834
1997-07-01,5.166942734216992
1997-08-01,14.205879484731234
1997-09-01,-17.717946818118413
1997-10-01,-4.565914098163032
1997-11-01,3.098929632890179
1997-12-01,77.40190658637533
1998-01-01,-46.64135670008923
1998-02-01,-49.833925776637955
1998-03-01,2.4553478588246676
1998-04-01,-8.985009509501511
1998-05-01,18.843390128799893
1998-06-01,6.571756476671834
1998-07-01,5.166942734216992
1998-08-01,14.205879484731234
1998-09-01,-17.717946818118413
1998-10-01,-4.565914098163032
1998-11-01,3.098929632890179
1998-12-01,77.40190658637533
1999-01-01,-46.64135670008923
1999-02-01,-49.833925776637955
1999-03-01,2.4553478588246676
1999-04-01,-8.985009509501511
1999-05-01,18.843390128799893
1999-06-01,6.571756476671834
1999-07-01,5.166942734216992
1999-08-01,14.205879484731234
1999-09-01,-17.717946818118413
1999-10-01,-4.565914098163032
1999-11-01,3.098929632890179
1999-12-01,77.40190658637533
2000-01-01,-46.64135670008923
2000-02-01,-49.833925776637955
2000-03-01,2.4553478588246676
2000-04-01,-8.985009509501511
2000-05-01,18.843390128799893
2000-06-01,6.571756476671834
2000-07-01,5.166942734216992
2000-08-01,14.205879484731234
2000-09-01,-17.717946818118413
2000-10-01,-4.565914098163032
2000-11-01,3.098929632890179
2000-12-01,77.40190658637533
2001-01-01,-46.64135670008923
2001-02-01,-49.833925776637955
2001-03-01,2.4553478588246676
2001-04-01,-8.985009509501511
2001-05-01,18.843390128799893
2001-06-01,6.571756476671834
2001-07-01,5.166942734216992
2001-08-01,14.205879484731234
2001-09-01,-17.717946818118413
2001-10-01,-4.565914098163032
2001-11-01,3.098929632890179
2001-12-01,77.40190658637533
2002-01-01,-46.64135670008923
2002-02-01,-49.833925776637955
2002-03-01,2.4553478588246676
2002-04-01,-8.985009509501511
2002-05-01,18.843390128799893
2002-06-01,6.571756476671834
2002-07-01,5.166942734216992
2002-08-01,14.205879484731234
2002-09-01,-17.717946818118413
2002-10-01,-4.565914098163032
2002-11-01,3.098929632890179
2002-12-01,77.40190658637533
2003-01-01,-46.64135670008923
2003-02-01,-49.833925776637955
2003-03-01,2.4553478588246676
2003-04-01,-8.985009509501511
2003-05-01,18.843390128799893
2003-06-01,6.571756476671834
2003-07-01,5.166942734216992
2003-08-01,14.205879484731234
2003-09-01,-17.717946818118413
2003-10-01,-4.565914098163032
2003-11-01,3.098929632890179
2003-12-01,77.40190658637533
2004-01-01,-46.64135670008923
2004-02-01,-49.833925776637955
2004-03-01,2.4553478588246676
2004-04-01,-8.985009509501511
2004-05-01,18.843390128799893
2004-06-01,6.571756476671834
2004-07-01,5.166942734216992
2004-08-01,14.205879484731234
2004-09-01,-17.717946818118413
2004-10-01,-4.565914098163032
2004-11-01,3.098929632890179
2004-12-01,77.40190658637533
2005-01-01,-46.64135670008923
2005-02-01,-49.833925776637955
2005-03-01,2.4553478588246676
2005-04-01,-8.985009509501511
2005-05-01,18.843390128799893
2005-06-01,6.571756476671834
2005-07-01,5.166942734216992
2005-08-01,14.205879484731234
2005-09-01,-17.717946818118413
2005-10-01,-4.565914098163032
2005-11-01,3.098929632890179
2005-12-01,77.40190658637533
2006-01-01,-46.64135670008923
2006-02-01,-49.833925776637955
2006-03-01,2.4553478588246676
2006-04-01,-8.985009509501511
2006-05-01,18.843390128799893
2006-06-01,6.571756476671834
2006-07-01,5.166942734216992
2006-08-01,14.205879484731234
2006-09-01,-17.717946818118413
2006-10-01,-4.565914098163032
2006-11-01,3.098929632890179
2006-12-01,77.40190658637533
